event_id,event_type,trigger,subject,time,location,object,participants,cause,result,previous_event,next_event,source,confidence,evidence_sentence,review_flag
E0029,密码破译事件,破译,艾伦·图灵,,德国,恩尼格玛密码机,温·诺克斯,,,,,auto_event_rule+relation,0.94,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
E0030,密码破译事件,密码分析,温·诺克斯,,德国,恩尼格玛密码机,艾伦·图灵,,,,,auto_event_rule+relation,0.94,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
E0031,研究事件,应用,艾伦·图灵,,,反应-扩散公式,,,,,,auto_event_rule,0.75,他应用了反应-扩散公式，现在已经成为图案形成范畴的核心,是
E0032,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,"他的论文基于序数的逻辑系统,介绍了序数逻辑的概念和相对计算的概念，其中图灵机增加了所谓的预言机，允许学者进一步研究图灵机无法解决的问题",是
E0033,研究事件,介绍,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,"他的论文基于序数的逻辑系统,介绍了序数逻辑的概念和相对计算的概念，其中图灵机增加了所谓的预言机，允许学者进一步研究图灵机无法解决的问题",是
E0034,研究事件,证明,艾伦·图灵,,,停机问题,,,,,,auto_event_rule+relation,0.76,他的证明首先展示了图灵机的停机问题没有答案，这是说不可能用一个算法来决定一台指定的图灵机是否会停机,是
E0035,研究事件,证明,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,他继续证明了判定问题是没有答案的,是
E0036,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,后来美国新墨西哥州洛斯阿拉莫斯国家实验室的研究组根据图灵的理论，在ENIAC上设计出世界上第一个电脑程序的国际象棋——洛斯阿拉莫斯象棋,是
E0037,出生事件,出生,艾伦·图灵,,伦敦,,,他们希望艾伦在英国,,,,auto_event_rule+relation,0.95,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,否
E0038,出生事件,生下,艾伦·图灵,,伦敦,,,他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里,,,,auto_event_rule+relation,0.95,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,否
E0039,研究事件,研究,艾伦·图灵,,,图灵测试,,,,,,auto_event_rule+relation,0.79,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,是
E0040,研究事件,提出,艾伦·图灵,,,图灵测试,,,,,,auto_event_rule+relation,0.79,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,是
E0041,发表事件,写过,艾伦·图灵,,,《计算机器和智能》,,,,,,auto_event_rule,0.86,图灵对于人工智能的发展有诸多贡献，例如图灵曾写过一篇名为《计算机器和智能》的论文，提问“机器会思考吗,否
E0042,设计开发事件,改进,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,图灵的方法更通用，使用基于恩尼格玛分析，他为此制作了炸弹的功能规范（对波兰炸弹的改进）,否
E0043,设计开发事件,制作,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,图灵的方法更通用，使用基于恩尼格玛分析，他为此制作了炸弹的功能规范（对波兰炸弹的改进）,否
E0044,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,在这段时间，他继续作一些比较抽象的研究，如“计算机械和智能”,是
E0045,研究事件,证明,艾伦·图灵,,,,阿隆佐·邱奇,,,,,auto_event_rule,0.72,尽管他的证明比阿隆佐·邱奇在λ演算方面相等的证明晚发表了几个月，图灵的著作是更易于理解和直观,是
E0046,研究事件,证明,阿隆佐·邱奇,,,,艾伦·图灵,,,,,auto_event_rule,0.72,尽管他的证明比阿隆佐·邱奇在λ演算方面相等的证明晚发表了几个月，图灵的著作是更易于理解和直观,是
E0047,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,尽管如此，委员会认为这项研究值得考虑提供研究金,是
E0048,死亡事件,自杀,艾伦·图灵,,,,,,,,,auto_event_rule,0.86,很多人相信他有意吃这苹果，并判决他是自杀,否
E0049,死亡事件,吃这苹果,艾伦·图灵,,,,,,,,,auto_event_rule,0.86,很多人相信他有意吃这苹果，并判决他是自杀,否
E0050,设计开发事件,设计,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器,否
E0051,设计开发事件,改进,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器,否
E0052,设计开发事件,研制,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器,否
E0053,研究事件,提出,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,此外，图灵提出的著名的图灵机模型为现代计算机的逻辑工作方式奠定了基础,是
E0054,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,现今，图灵机还是计算理论研究的中心课题,是
E0055,法律迫害事件,定罪,上议院,,麦克纳利,艾伦·图灵,,图灵是根据当时的法律被,,,,auto_event_rule,0.86,英国上议院的麦克纳利勋爵解释说：“死后赦免状是不合理的，因为图灵是根据当时的法律被定罪,否
E0056,法律迫害事件,赦免,上议院,,麦克纳利,艾伦·图灵,,,,,,auto_event_rule,0.86,英国上议院的麦克纳利勋爵解释说：“死后赦免状是不合理的，因为图灵是根据当时的法律被定罪,否
E0057,死亡事件,自杀,艾伦·图灵,,,,苹果公司,,,,,auto_event_rule,0.86,苹果公司的商标有时会被误认为是源于图灵自杀时咬下的半个苹果，但该图案的设计师和苹果公司都否认了这一说法,否
E0058,研究事件,证明,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,虽然图灵机过于缓慢的速度使其没有实际用途，图灵还是证明了这样的机器有能力解决任何可想像的，并以数学式表达的数学难题,是
E0059,研究事件,介绍,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,这篇论文还介绍了可定义数的概念,是
E0060,研究事件,研究,艾伦·图灵,,,,,,,,,auto_event_rule,0.72,除了他的纯数学工作外，他亦研究密码学，并建造了机电二进制乘法器的四个阶段中的其中三个,是
E0061,任职事件,负责,艾伦·图灵,二次世界大战期间,德国海军,德国海军,,,,,,auto_event_rule,0.92,二次世界大战期间，“Hut 8”小组，负责德国海军密码分析,否
E0062,密码破译事件,密码分析,德国海军,二次世界大战期间,德国海军,,,,,,,auto_event_rule,0.91,二次世界大战期间，“Hut 8”小组，负责德国海军密码分析,否
