头实体,关系,尾实体,来源,置信度,触发词,证据句,建议人工复核
艾伦·图灵,参与破解,恩尼格玛密码机,auto_rule,0.865,模板:参与破解|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:2,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
艾伦·图灵,合作,温·诺克斯,auto_rule,0.735,模板:合作|特征:距离偏远|特征:类型合法,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
温·诺克斯,参与破解,恩尼格玛密码机,auto_rule,1.0,模板:破解|特征:局部触发词|特征:近距离|特征:类型合法,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
英国皇家海军,聘请,艾伦·图灵,auto_rule,0.872,模板:聘请|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|特征:被动/受事提示,1939年图灵被英国皇家海军招聘，并在英国军情六处监督下从事对德国机密军事密码的破译工作,否
艾伦·图灵,任职于,国家物理实验室,auto_rule,0.892,模板:任职|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,否
艾伦·图灵,研究,自动计算引擎,auto_rule,0.81,绑定:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,否
艾伦·图灵,任职于,曼彻斯特大学计算机实验室,auto_rule,0.83,模板:任职于|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1949年，他成为曼彻斯特大学计算机实验室的副主任，负责最早的真正的计算机——曼彻斯特一号的软件工作,否
艾伦·图灵,研究,计算机械和智能,auto_rule,0.83,模板:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,在这段时间，他继续作一些比较抽象的研究，如“计算机械和智能”,否
艾伦·图灵,提出,图灵测试,auto_rule,0.872,模板:提出|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,否
艾伦·图灵,研究,生物数学,auto_open_ie,0.64,开放谓词:(?:研究|探讨|研究工作|兴趣是|应用)|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,从1952年直到去世，图灵一直在生物数学方面做研究,是
艾伦·图灵,发表,《形态发生的化学基础》,auto_rule,0.85,绑定:发表|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,他在1952年发表了一篇论文《形态发生的化学基础》（英语：The Chemical Basis of Morphogenesis）,否
艾伦·图灵,当选院士,皇家学会,auto_rule,0.815,绑定:当选院士|特征:距离偏远|特征:类型合法|特征:被动/受事提示,他在1951年还被选为皇家学会（FRS）的成员,否
档案馆,研究,计算机科学之父,auto_rule,0.7,研究|特征:局部触发词|特征:类型合法,谜样的计算机科学之父 （页面存档备份，存于互联网档案馆） - 中央研究院数学所、台大数学系,是
剑桥大学国王学院,属于,剑桥大学,auto_rule,0.86,层级归一,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
